1. first: 2, last: 1 -> 21
823. first: 6, last: 5 -> 65
824. first: 2, last: 2 -> 22
825. first: 4, last: 6 -> 46
826. first: 5, last: 7 -> 57
827. first: 6, last: 6 -> 66
828. first: 1, last: 1 -> 11
829. first: 7, last: 7 -> 77
830. first: 8, last: 8 -> 88
831. first: 2, last: 2 -> 22
832. first: 5, last: 5 -> 55
833. first: 2, last: 4 -> 24
834. first: 3, last: 7 -> 37
835. first: 9, last: 4 -> 94
836. first: 3, last: 3 -> 33
837. first: 9, last: 2 -> 92
838. first: 2, last: 5 -> 25
839. first: 3, last: 6 -> 36
840. first: 2, last: 9 -> 29
841. first: 5, last: 9 -> 59
842. first: 6, last: 6 -> 66
843. first: 6, last: 4 -> 64
844. first: 5, last: 7 -> 57
845. first: 6, last: 4 -> 64
846. first: 2, last: 6 -> 26
847. first: 5, last: 8 -> 58
848. first: 6, last: 7 -> 67
849. first: 9, last: 9 -> 99
850. first: 1, last: 1 -> 11
851. first: 6, last: 6 -> 66
852. first: 1, last: 9 -> 19
853. first: 1, last: 9 -> 19
854. first: 7, last: 8 -> 78
855. first: 2, last: 8 -> 28
856. first: 2, last: 2 -> 22
857. first: 7, last: 2 -> 72
858. first: 7, last: 7 -> 77
859. first: 3, last: 3 -> 33
860. first: 3, last: 2 -> 32
861. first: 2, last: 2 -> 22
862. first: 4, last: 7 -> 47
863. first: 3, last: 3 -> 33
864. first: 4, last: 7 -> 47
865. first: 5, last: 5 -> 55
866. first: 8, last: 7 -> 87
867. first: 1, last: 1 -> 11
868. first: 4, last: 4 -> 44
869. first: 6, last: 2 -> 62
870. first: 9, last: 9 -> 99
871. first: 8, last: 1 -> 81
872. first: 9, last: 9 -> 99
873. first: 2, last: 2 -> 22
874. first: 7, last: 7 -> 77
875. first: 6, last: 7 -> 67
876. first: 8, last: 7 -> 87
877. first: 4, last: 4 -> 44
878. first: 2, last: 7 -> 27
879. first: 5, last: 4 -> 54
880. first: 5, last: 7 -> 57
881. first: 4, last: 8 -> 48
882. first: 3, last: 4 -> 34
883. first: 4, last: 4 -> 44
884. first: 8, last: 1 -> 81
885. first: 6, last: 6 -> 66
886. first: 8, last: 8 -> 88
887. first: 4, last: 3 -> 43
888. first: 6, last: 3 -> 63
889. first: 4, last: 8 -> 48
890. first: 2, last: 9 -> 29
891. first: 6, last: 9 -> 69
892. first: 8, last: 6 -> 86
893. first: 9, last: 1 -> 91
894. first: 5, last: 5 -> 55
895. first: 7, last: 7 -> 77
896. first: 2, last: 5 -> 25
897. first: 6, last: 6 -> 66
898. first: 2, last: 2 -> 22
899. first: 5, last: 5 -> 55
900. first: 2, last: 2 -> 22
901. first: 4, last: 3 -> 43
902. first: 9, last: 5 -> 95
903. first: 5, last: 5 -> 55
904. first: 1, last: 2 -> 12
905. first: 3, last: 1 -> 31
906. first: 9, last: 9 -> 99
907. first: 6, last: 9 -> 69
908. first: 7, last: 3 -> 73
909. first: 3, last: 5 -> 35
910. first: 4, last: 9 -> 49
911. first: 1, last: 1 -> 11
912. first: 3, last: 4 -> 34
913. first: 6, last: 1 -> 61
914. first: 6, last: 7 -> 67
915. first: 9, last: 9 -> 99
916. first: 4, last: 1 -> 41
917. first: 1, last: 7 -> 17
918. first: 3, last: 9 -> 39
919. first: 8, last: 3 -> 83
920. first: 4, last: 4 -> 44
921. first: 2, last: 2 -> 22
922. first: 4, last: 8 -> 48
923. first: 5, last: 5 -> 55
924. first: 1, last: 1 -> 11
925. first: 2, last: 2 -> 22
926. first: 7, last: 7 -> 77
927. first: 4, last: 5 -> 45
928. first: 3, last: 3 -> 33
929. first: 2, last: 2 -> 22
930. first: 3, last: 3 -> 33
931. first: 8, last: 8 -> 88
932. first: 1, last: 2 -> 12
933. first: 5, last: 8 -> 58
934. first: 6, last: 6 -> 66
935. first: 3, last: 5 -> 35
936. first: 4, last: 6 -> 46
937. first: 8, last: 1 -> 81
938. first: 7, last: 7 -> 77
939. first: 1, last: 8 -> 18
940. first: 5, last: 6 -> 56
941. first: 6, last: 1 -> 61
942. first: 5, last: 5 -> 55
943. first: 7, last: 7 -> 77
944. first: 8, last: 8 -> 88
945. first: 4, last: 6 -> 46
946. first: 1, last: 1 -> 11
947. first: 9, last: 9 -> 99
948. first: 2, last: 8 -> 28
949. first: 5, last: 5 -> 55
950. first: 5, last: 5 -> 55
951. first: 9, last: 6 -> 96
952. first: 4, last: 3 -> 43
953. first: 4, last: 9 -> 49
954. first: 9, last: 9 -> 99
955. first: 4, last: 8 -> 48
956. first: 2, last: 2 -> 22
957. first: 8, last: 5 -> 85
958. first: 8, last: 8 -> 88
959. first: 4, last: 4 -> 44
960. first: 6, last: 2 -> 62
961. first: 5, last: 5 -> 55
962. first: 6, last: 6 -> 66
963. first: 1, last: 2 -> 12
964. first: 7, last: 7 -> 77
965. first: 4, last: 1 -> 41
966. first: 8, last: 9 -> 89
967. first: 8, last: 8 -> 88
968. first: 6, last: 1 -> 61
969. first: 5, last: 5 -> 55
970. first: 4, last: 4 -> 44
971. first: 4, last: 2 -> 42
972. first: 2, last: 6 -> 26
973. first: 7, last: 7 -> 77
974. first: 2, last: 4 -> 24
975. first: 5, last: 3 -> 53
976. first: 6, last: 6 -> 66
977. first: 7, last: 5 -> 75
978. first: 8, last: 1 -> 81
979. first: 5, last: 7 -> 57
980. first: 1, last: 5 -> 15
981. first: 7, last: 7 -> 77
982. first: 9, last: 9 -> 99
983. first: 6, last: 1 -> 61
984. first: 4, last: 4 -> 44
985. first: 5, last: 1 -> 51
986. first: 6, last: 6 -> 66
987. first: 5, last: 8 -> 58
988. first: 1, last: 8 -> 18
989. first: 3, last: 3 -> 33
990. first: 6, last: 8 -> 68
991. first: 9, last: 9 -> 99
992. first: 1, last: 4 -> 14
993. first: 6, last: 6 -> 66
994. first: 6, last: 2 -> 62
995. first: 4, last: 4 -> 44
996. first: 2, last: 6 -> 26
997. first: 8, last: 8 -> 88
998. first: 3, last: 9 -> 39
999. first: 4, last: 4 -> 44
1000. first: 6, last: 9 -> 69
Total SUm: 55538
