1. first: 2, last: 1 -> 21
823. first: 1, last: 5 -> 15
824. first: 2, last: 2 -> 22
825. first: 8, last: 6 -> 86
826. first: 3, last: 7 -> 37
827. first: 6, last: 2 -> 62
828. first: 1, last: 2 -> 12
829. first: 7, last: 7 -> 77
830. first: 8, last: 5 -> 85
831. first: 1, last: 3 -> 13
832. first: 5, last: 5 -> 55
833. first: 1, last: 1 -> 11
834. first: 3, last: 7 -> 37
835. first: 7, last: 4 -> 74
836. first: 3, last: 2 -> 32
837. first: 3, last: 2 -> 32
838. first: 2, last: 5 -> 25
839. first: 1, last: 6 -> 16
840. first: 2, last: 6 -> 26
841. first: 5, last: 3 -> 53
842. first: 9, last: 6 -> 96
843. first: 4, last: 4 -> 44
844. first: 7, last: 7 -> 77
845. first: 6, last: 9 -> 69
846. first: 2, last: 6 -> 26
847. first: 5, last: 8 -> 58
848. first: 6, last: 7 -> 67
849. first: 9, last: 8 -> 98
850. first: 2, last: 1 -> 21
851. first: 6, last: 9 -> 69
852. first: 1, last: 5 -> 15
853. first: 1, last: 9 -> 19
854. first: 6, last: 8 -> 68
855. first: 2, last: 9 -> 29
856. first: 2, last: 1 -> 21
857. first: 7, last: 2 -> 72
858. first: 7, last: 2 -> 72
859. first: 3, last: 5 -> 35
860. first: 3, last: 2 -> 32
861. first: 2, last: 2 -> 22
862. first: 2, last: 7 -> 27
863. first: 6, last: 3 -> 63
864. first: 6, last: 7 -> 67
865. first: 5, last: 8 -> 58
866. first: 8, last: 9 -> 89
867. first: 1, last: 4 -> 14
868. first: 4, last: 6 -> 46
869. first: 6, last: 2 -> 62
870. first: 9, last: 3 -> 93
871. first: 8, last: 7 -> 87
872. first: 5, last: 5 -> 55
873. first: 8, last: 1 -> 81
874. first: 2, last: 9 -> 29
875. first: 8, last: 6 -> 86
876. first: 8, last: 8 -> 88
877. first: 5, last: 4 -> 54
878. first: 3, last: 4 -> 34
879. first: 3, last: 4 -> 34
880. first: 5, last: 7 -> 57
881. first: 2, last: 8 -> 28
882. first: 5, last: 4 -> 54
883. first: 2, last: 4 -> 24
884. first: 3, last: 1 -> 31
885. first: 6, last: 6 -> 66
886. first: 1, last: 8 -> 18
887. first: 3, last: 9 -> 39
888. first: 6, last: 3 -> 63
889. first: 1, last: 8 -> 18
890. first: 4, last: 9 -> 49
891. first: 6, last: 4 -> 64
892. first: 7, last: 6 -> 76
893. first: 6, last: 1 -> 61
894. first: 9, last: 5 -> 95
895. first: 9, last: 7 -> 97
896. first: 2, last: 5 -> 25
897. first: 6, last: 6 -> 66
898. first: 2, last: 2 -> 22
899. first: 5, last: 4 -> 54
900. first: 8, last: 2 -> 82
901. first: 3, last: 3 -> 33
902. first: 9, last: 5 -> 95
903. first: 4, last: 1 -> 41
904. first: 1, last: 4 -> 14
905. first: 2, last: 1 -> 21
906. first: 1, last: 9 -> 19
907. first: 6, last: 9 -> 69
908. first: 7, last: 3 -> 73
909. first: 1, last: 5 -> 15
910. first: 4, last: 9 -> 49
911. first: 1, last: 1 -> 11
912. first: 8, last: 4 -> 84
913. first: 5, last: 5 -> 55
914. first: 6, last: 7 -> 67
915. first: 9, last: 9 -> 99
916. first: 6, last: 1 -> 61
917. first: 6, last: 7 -> 67
918. first: 1, last: 9 -> 19
919. first: 8, last: 5 -> 85
920. first: 1, last: 7 -> 17
921. first: 3, last: 2 -> 32
922. first: 7, last: 2 -> 72
923. first: 2, last: 5 -> 25
924. first: 1, last: 1 -> 11
925. first: 2, last: 1 -> 21
926. first: 7, last: 3 -> 73
927. first: 4, last: 5 -> 45
928. first: 2, last: 9 -> 29
929. first: 4, last: 7 -> 47
930. first: 9, last: 9 -> 99
931. first: 8, last: 8 -> 88
932. first: 1, last: 2 -> 12
933. first: 5, last: 6 -> 56
934. first: 6, last: 2 -> 62
935. first: 3, last: 9 -> 39
936. first: 4, last: 6 -> 46
937. first: 9, last: 1 -> 91
938. first: 8, last: 8 -> 88
939. first: 1, last: 8 -> 18
940. first: 5, last: 6 -> 56
941. first: 6, last: 1 -> 61
942. first: 5, last: 5 -> 55
943. first: 9, last: 5 -> 95
944. first: 7, last: 8 -> 78
945. first: 8, last: 5 -> 85
946. first: 1, last: 1 -> 11
947. first: 9, last: 6 -> 96
948. first: 1, last: 8 -> 18
949. first: 3, last: 5 -> 35
950. first: 3, last: 9 -> 39
951. first: 4, last: 8 -> 48
952. first: 7, last: 3 -> 73
953. first: 4, last: 9 -> 49
954. first: 9, last: 9 -> 99
955. first: 4, last: 1 -> 41
956. first: 2, last: 6 -> 26
957. first: 8, last: 6 -> 86
958. first: 8, last: 7 -> 87
959. first: 5, last: 4 -> 54
960. first: 7, last: 6 -> 76
961. first: 5, last: 5 -> 55
962. first: 6, last: 5 -> 65
963. first: 1, last: 2 -> 12
964. first: 9, last: 2 -> 92
965. first: 4, last: 1 -> 41
966. first: 8, last: 9 -> 89
967. first: 8, last: 8 -> 88
968. first: 9, last: 1 -> 91
969. first: 5, last: 6 -> 56
970. first: 4, last: 7 -> 47
971. first: 4, last: 2 -> 42
972. first: 2, last: 6 -> 26
973. first: 7, last: 7 -> 77
974. first: 2, last: 4 -> 24
975. first: 1, last: 3 -> 13
976. first: 6, last: 9 -> 69
977. first: 7, last: 2 -> 72
978. first: 8, last: 9 -> 89
979. first: 5, last: 7 -> 57
980. first: 1, last: 3 -> 13
981. first: 7, last: 8 -> 78
982. first: 9, last: 5 -> 95
983. first: 1, last: 2 -> 12
984. first: 4, last: 2 -> 42
985. first: 5, last: 1 -> 51
986. first: 6, last: 1 -> 61
987. first: 8, last: 8 -> 88
988. first: 1, last: 8 -> 18
989. first: 4, last: 1 -> 41
990. first: 6, last: 8 -> 68
991. first: 9, last: 8 -> 98
992. first: 1, last: 4 -> 14
993. first: 3, last: 6 -> 36
994. first: 6, last: 2 -> 62
995. first: 2, last: 4 -> 24
996. first: 2, last: 6 -> 26
997. first: 9, last: 1 -> 91
998. first: 4, last: 9 -> 49
999. first: 4, last: 6 -> 46
1000. first: 6, last: 4 -> 64
Total SUm: 54875
